,folder,no,sl0,sl1,sl2,dur,diff
30,서울대 최신기출 4,41,27.23,25.123,19.43,"[(0, 1991, 1991), (1991, 5591, 3600), (5591, 8006, 2415), (8006, 10172, 2166), (10172, 12942, 2770), (12942, 14293, 1351), (14293, 21066, 6773), (21066, 22035, 969), (22035, 27230, 5195), (27230, 31005, 3775), (31005, 33370, 2365), (33370, 35471, 2101), (35471, 38130, 2659), (38130, 39530, 1400), (39530, 46115, 6585), (46115, 47132, 1017), (47132, 52353, 5221), (52353, 53241, 888), (53241, 56678, 3437), (56678, 57630, 952), (57630, 60579, 2949), (60579, 61531, 952), (61531, 64602, 3071), (64602, 65461, 859), (65461, 71783, 6322)]",2.107
31,서울대 최신기출 4,42,29.277,27.265,22.112,"[(0, 2017, 2017), (2017, 5472, 3455), (5472, 9115, 3643), (9115, 12409, 3294), (12409, 16069, 3660), (16069, 18032, 1963), (18032, 20081, 2049), (20081, 23726, 3645), (23726, 24806, 1080), (24806, 29277, 4471), (29277, 32746, 3469), (32746, 36225, 3479), (36225, 39435, 3210), (39435, 43001, 3566), (43001, 44859, 1858), (44859, 46991, 2132), (46991, 50971, 3980), (50971, 52153, 1182), (52153, 56542, 4389), (56542, 57502, 960), (57502, 61227, 3725), (61227, 62199, 972), (62199, 66041, 3842), (66041, 67122, 1081), (67122, 70501, 3379), (70501, 71571, 1070), (71571, 78654, 7083)]",2.012
32,서울대 최신기출 4,44,27.401,24.31,21.535,"[(0, 1989, 1989), (1989, 4416, 2427), (4416, 7824, 3408), (7824, 10437, 2613), (10437, 11049, 612), (11049, 14327, 3278), (14327, 17046, 2719), (17046, 17881, 835), (17881, 22065, 4184), (22065, 23154, 1089), (23154, 27401, 4247), (27401, 29677, 2276), (29677, 33069, 3392), (33069, 35527, 2458), (35527, 39038, 3511), (39038, 41544, 2506), (41544, 46398, 4854), (46398, 47491, 1093), (47491, 51711, 4220), (51711, 52628, 917), (52628, 56521, 3893), (56521, 57492, 971), (57492, 61055, 3563), (61055, 62090, 1035), (62090, 65782, 3692), (65782, 66701, 919), (66701, 73246, 6545)]",3.091
33,서울대 최신기출 4,45,23.967,21.308,19.011,"[(0, 2214, 2214), (2214, 4115, 1901), (4115, 6292, 2177), (6292, 9777, 3485), (9777, 11943, 2166), (11943, 13909, 1966), (13909, 18934, 5025), (18934, 20014, 1080), (20014, 23967, 3953), (23967, 25858, 1891), (25858, 28010, 2152), (28010, 31332, 3322), (31332, 33523, 2191), (33523, 35457, 1934), (35457, 40273, 4816), (40273, 41302, 1029), (41302, 45275, 3973), (45275, 46147, 872), (46147, 48637, 2490), (48637, 49583, 946), (49583, 52276, 2693), (52276, 53203, 927), (53203, 56631, 3428), (56631, 57574, 943), (57574, 64286, 6712)]",2.659
34,서울대 최신기출 4,52,33.128,32.092,23.648,"[(0, 1999, 1999), (1999, 8209, 6210), (8209, 19562, 11353), (19562, 28695, 9133), (28695, 29696, 1001), (29696, 33128, 3432), (33128, 39654, 6526), (39654, 42846, 3192), (42846, 51649, 8803), (51649, 56241, 4592), (56241, 60802, 4561), (60802, 61782, 980), (61782, 65220, 3438), (65220, 66116, 896), (66116, 70983, 4867), (70983, 71888, 905), (71888, 75842, 3954), (75842, 76756, 914), (76756, 80918, 4162), (80918, 81825, 907), (81825, 88868, 7043)]",1.036
35,서울대 최신기출 4,56,41.17,39.295,20.132,"[(0, 2044, 2044), (2044, 6409, 4365), (6409, 16741, 10332), (16741, 23407, 6666), (23407, 28368, 4961), (28368, 31573, 3205), (31573, 35078, 3505), (35078, 36081, 1003), (36081, 41170, 5089), (41170, 45345, 4175), (45345, 55149, 9804), (55149, 59223, 4074), (59223, 62263, 3040), (62263, 67562, 5299), (67562, 74312, 6750), (74312, 75360, 1048), (75360, 80465, 5105), (80465, 81288, 823), (81288, 84822, 3534), (84822, 85703, 881), (85703, 89288, 3585), (89288, 90200, 912), (90200, 93631, 3431), (93631, 94541, 910), (94541, 100597, 6056)]",1.875
36,서울대 최신기출 4,59,39.111,35.356,25.607,"[(0, 1995, 1995), (1995, 8722, 6727), (8722, 14388, 5666), (14388, 23408, 9020), (23408, 27478, 4070), (27478, 33228, 5750), (33228, 34380, 1152), (34380, 39111, 4731), (39111, 46043, 6932), (46043, 51332, 5289), (51332, 59502, 8170), (59502, 68732, 9230), (68732, 69864, 1132), (69864, 74467, 4603), (74467, 75389, 922), (75389, 79557, 4168), (79557, 80539, 982), (80539, 84862, 4323), (84862, 85890, 1028), (85890, 90717, 4827), (90717, 91692, 975), (91692, 100074, 8382)]",3.755
37,서울대 최신기출 4,60,37.032,37.606,23.384,"[(0, 1942, 1942), (1942, 9685, 7743), (9685, 17913, 8228), (17913, 24519, 6606), (24519, 32357, 7838), (32357, 33365, 1008), (33365, 37032, 3667), (37032, 45228, 8196), (45228, 50135, 4907), (50135, 53825, 3690), (53825, 58330, 4505), (58330, 61164, 2834), (61164, 69772, 8608), (69772, 70852, 1080), (70852, 74638, 3786), (74638, 75488, 850), (75488, 79081, 3593), (79081, 79990, 909), (79990, 83806, 3816), (83806, 84764, 958), (84764, 89155, 4391), (89155, 90072, 917), (90072, 98022, 7950)]",0.574
38,서울대 최신기출 5,37,25.752,23.645,20.297,"[(0, 1982, 1982), (1982, 13607, 11625), (13607, 20943, 7336), (20943, 21924, 981), (21924, 25752, 3828), (25752, 44427, 18675), (44427, 45538, 1111), (45538, 49397, 3859), (49397, 50285, 888), (50285, 54137, 3852), (54137, 55045, 908), (55045, 58138, 3093), (58138, 59099, 961), (59099, 62863, 3764), (62863, 63716, 853), (63716, 69694, 5978)]",2.107
39,서울대 최신기출 5,41,26.233,23.616,20.89,"[(0, 1883, 1883), (1883, 21004, 19121), (21004, 22154, 1150), (22154, 26233, 4079), (26233, 44786, 18553), (44786, 45853, 1067), (45853, 49849, 3996), (49849, 50722, 873), (50722, 54812, 4090), (54812, 55766, 954), (55766, 59473, 3707), (59473, 60460, 987), (60460, 63280, 2820), (63280, 64215, 935), (64215, 70739, 6524)]",2.617
40,서울대 최신기출 5,42,29.143,27.66,23.81,"[(0, 1948, 1948), (1948, 16660, 14712), (16660, 23894, 7234), (23894, 25041, 1147), (25041, 29143, 4102), (29143, 40023, 10880), (40023, 51499, 11476), (51499, 52652, 1153), (52652, 56803, 4151), (56803, 57736, 933), (57736, 61698, 3962), (61698, 62703, 1005), (62703, 67405, 4702), (67405, 68442, 1037), (68442, 72069, 3627), (72069, 73038, 969), (73038, 80613, 7575)]",1.483
41,서울대 최신기출 5,44,24.865,22.904,21.141,"[(0, 2002, 2002), (2002, 19869, 17867), (19869, 20986, 1117), (20986, 24865, 3879), (24865, 42777, 17912), (42777, 43894, 1117), (43894, 47769, 3875), (47769, 48680, 911), (48680, 51634, 2954), (51634, 52571, 937), (52571, 56182, 3611), (56182, 57191, 1009), (57191, 60949, 3758), (60949, 61888, 939), (61888, 68910, 7022)]",1.961
42,서울대 최신기출 5,45,23.332,20.811,20.3,"[(0, 2057, 2057), (2057, 18521, 16464), (18521, 19587, 1066), (19587, 23332, 3745), (23332, 39408, 16076), (39408, 40514, 1106), (40514, 44143, 3629), (44143, 45018, 875), (45018, 48444, 3426), (48444, 49388, 944), (49388, 52511, 3123), (52511, 53490, 979), (53490, 57340, 3850), (57340, 58272, 932), (58272, 64443, 6171)]",2.521
43,서울대 최신기출 5,52,39.066,37.079,22.492,"[(0, 1961, 1961), (1961, 10013, 8052), (10013, 12819, 2806), (12819, 20892, 8073), (20892, 23677, 2785), (23677, 34591, 10914), (34591, 35630, 1039), (35630, 39066, 3436), (39066, 47125, 8059), (47125, 57887, 10762), (57887, 65141, 7254), (65141, 71495, 6354), (71495, 72582, 1087), (72582, 76145, 3563), (76145, 77080, 935), (77080, 81154, 4074), (81154, 82051, 897), (82051, 85712, 3661), (85712, 86642, 930), (86642, 90700, 4058), (90700, 91597, 897), (91597, 98637, 7040)]",1.987
